territories,new_margin
national,9.174014298954987
alabama,-16.562647216670825
alaska,-7.1025930076446375
arizona,2.5870155655551033
arkansas,-13.835977224373021
california,28.338828359938727
colorado,10.097204045105585
connecticut,19.85234567974745
delaware,20.200497001251616
district of columbia,90.41598899050106
florida,1.1586229193233422
georgia,-0.8504182720318395
hawaii,35.187951396178136
idaho,-25.60576719140145
illinois,22.091530039010458
indiana,-11.675054666810887
iowa,-0.5987330588717743
kansas,-11.4845196821674
kentucky,-19.415441982878022
louisiana,-9.414863562753823
maine,14.28672761158974
maine-1,24.05471338433887
maine-2,3.0774184972281784
maryland,28.774041551169045
massachusetts,33.051049979518496
michigan,6.3397717580290145
minnesota,10.554869519133755
mississippi,-9.80080966157716
missouri,-8.018053628644537
montana,-8.406601081211559
nebraska,-18.25966717661031
nebraska-1,-8.23892190912482
nebraska-2,3.520497086311712
nebraska-3,-43.15165110530739
nevada,8.597340437450546
new hampshire,7.220526742843049
new jersey,19.790503674200426
new mexico,14.210337719659972
new york,29.437833955673543
north carolina,0.9846177700913126
north dakota,-21.718348649787263
ohio,2.2785192254919813
oklahoma,-26.14773319956927
oregon,13.859121470140412
pennsylvania,5.6620165969339755
rhode island,26.520515702425214
south carolina,-6.3218700607107445
south dakota,-18.733240437905987
tennessee,-16.17974625142179
texas,-2.6872519351403046
utah,-19.500085437110044
vermont,24.768417780112685
virginia,9.841582493813348
washington,22.815690649720572
west virginia,-30.788221293462932
wisconsin,4.97387727810407
wyoming,-38.12878313786064
